work_type,t,shift,nurse_id,value
regular,1,Night,10,0
overtime,1,Night,11,0
regular,1,Night,11,1
overtime,1,Night,12,0
regular,1,Night,12,0
overtime,1,Night,13,0
regular,1,Night,13,0
overtime,1,Night,14,0
regular,1,Night,14,0
overtime,1,Night,15,0
regular,1,Night,15,1
overtime,1,Night,16,0
regular,1,Night,16,0
overtime,1,Night,17,0
regular,1,Night,17,1
overtime,1,Night,18,0
regular,1,Night,18,0
overtime,1,Night,19,0
regular,1,Night,19,0
overtime,1,Night,20,0
regular,1,Night,20,0
overtime,1,Night,21,0
regular,1,Night,21,0
overtime,1,Night,22,0
regular,1,Night,22,0
overtime,1,Night,23,0
regular,1,Night,23,0
overtime,1,Night,24,0
regular,1,Night,24,0
overtime,1,Night,25,0
regular,1,Night,25,0
overtime,1,Night,26,0
regular,1,Night,26,1
overtime,1,Night,27,0
regular,1,Night,27,0
overtime,1,Night,28,0
regular,1,Night,28,0
overtime,1,Night,29,0
regular,1,Night,29,0
overtime,2,Morning,0,1
regular,2,Morning,0,0
overtime,2,Morning,1,0
regular,2,Morning,1,0
overtime,2,Morning,2,0
regular,2,Morning,2,0
overtime,2,Morning,3,0
regular,2,Morning,3,0
overtime,2,Morning,4,0
regular,2,Morning,4,0
overtime,2,Morning,5,0
regular,2,Morning,5,0
overtime,2,Morning,6,0
regular,2,Morning,6,0
overtime,2,Morning,7,0
regular,2,Morning,7,0
overtime,2,Morning,8,0
regular,2,Morning,8,1
overtime,2,Morning,9,0
regular,2,Morning,9,0
overtime,2,Morning,10,0
regular,2,Morning,10,0
overtime,2,Morning,11,0
regular,2,Morning,11,0
overtime,2,Morning,12,0
regular,2,Morning,12,0
overtime,2,Morning,13,0
regular,2,Morning,13,1
overtime,2,Morning,14,0
regular,2,Morning,14,0
overtime,2,Morning,15,0
regular,2,Morning,15,0
overtime,2,Morning,16,0
regular,2,Morning,16,0
overtime,2,Morning,17,0
regular,2,Morning,17,0
overtime,2,Morning,18,0
regular,2,Morning,18,1
overtime,2,Morning,19,0
regular,2,Morning,19,0
overtime,2,Morning,20,0
regular,2,Morning,20,1
overtime,2,Morning,21,0
regular,2,Morning,21,1
overtime,2,Morning,22,0
regular,2,Morning,22,0
overtime,2,Morning,23,0
regular,2,Morning,23,0
overtime,2,Morning,24,0
regular,2,Morning,24,1
overtime,2,Morning,25,0
regular,2,Morning,25,0
overtime,2,Morning,26,0
regular,2,Morning,26,0
overtime,2,Morning,27,0
regular,2,Morning,27,0
overtime,2,Morning,28,0
regular,2,Morning,28,0
overtime,2,Morning,29,0
regular,2,Morning,29,0
overtime,2,Evening,0,0
regular,2,Evening,0,0
overtime,2,Evening,1,0
regular,2,Evening,1,0
overtime,2,Evening,2,0
regular,2,Evening,2,1
overtime,2,Evening,3,0
regular,2,Evening,3,0
overtime,2,Evening,4,0
regular,2,Evening,4,0
overtime,2,Evening,5,0
regular,2,Evening,5,0
overtime,2,Evening,6,0
regular,2,Evening,6,1
overtime,2,Evening,7,0
regular,2,Evening,7,0
overtime,2,Evening,8,0
regular,2,Evening,8,0
overtime,2,Evening,9,0
regular,2,Evening,9,0
overtime,2,Evening,10,0
regular,2,Evening,10,1
overtime,2,Evening,11,0
regular,2,Evening,11,0
overtime,2,Evening,12,0
regular,2,Evening,12,0
overtime,2,Evening,13,0
regular,2,Evening,13,0
overtime,2,Evening,14,0
regular,2,Evening,14,1
overtime,2,Evening,15,0
regular,2,Evening,15,0
overtime,2,Evening,16,0
regular,2,Evening,16,1
overtime,2,Evening,17,0
regular,2,Evening,17,0
overtime,2,Evening,18,0
regular,2,Evening,18,0
overtime,2,Evening,19,0
regular,2,Evening,19,0
overtime,2,Evening,20,0
regular,2,Evening,20,0
overtime,2,Evening,21,0
regular,2,Evening,21,0
overtime,2,Evening,22,0
regular,2,Evening,22,0
overtime,2,Evening,23,0
regular,2,Evening,23,0
overtime,2,Evening,24,0
regular,2,Evening,24,0
overtime,2,Evening,25,0
regular,2,Evening,25,1
overtime,2,Evening,26,0
regular,2,Evening,26,0
overtime,2,Evening,27,0
regular,2,Evening,27,1
overtime,2,Evening,28,0
regular,2,Evening,28,0
overtime,2,Evening,29,0
regular,2,Evening,29,0
overtime,2,Night,0,0
regular,2,Night,0,0
overtime,2,Night,1,0
regular,2,Night,1,0
overtime,2,Night,2,0
regular,2,Night,2,0
overtime,2,Night,3,0
regular,2,Night,3,0
overtime,2,Night,4,0
regular,2,Night,4,1
overtime,2,Night,5,0
regular,2,Night,5,0
overtime,2,Night,6,0
regular,2,Night,6,0
overtime,2,Night,7,0
regular,2,Night,7,1
overtime,2,Night,8,0
regular,2,Night,8,0
overtime,2,Night,9,0
regular,2,Night,9,0
overtime,2,Night,10,0
regular,2,Night,10,0
overtime,2,Night,11,0
regular,2,Night,11,0
overtime,2,Night,12,0
regular,2,Night,12,1
overtime,2,Night,13,0
